eng,myn
I go abroad once a year.,တစ်နှစ် တစ်ခါ နိုင်ငံခြား သွားတယ်။
We need two eggs for this dish.,ဒီဟင်းကို ကြက်ဥ နှစ်လုံး သုံးရတယ်။
I ate one snack that I got from Mr Lee.,မစ္စတာလီဆီက ရခဲ့တဲ့မုန့်ကို တစ်ခု စားလိုက်တယ်။
"In Japan, you can start driving at 18 years old.",ဂျပန်မှာ ဆယ့်ရှစ်နှစ်ကစပြီး ကားမောင်းလို့ရတယ်။
My sister is four years old.,ကျွန်တော့်ညီမလေးက လေးနှစ်ပါ။
There are seven computers in this classroom.,ဒီစာသင်ခန်းမှာ ကွန်ပျူတာ ခုနစ်လုံး ရှိတယ်။
There are four cars parked in front of the shop.,ဆိုင်ရှေ့မှာ ကား လေးစီး ရပ်ထားတယ်။
I will put in three spoonfuls of sugar.,သကြားကို ဇွန်းနဲ့ သုံးခွက် ထည့်တယ်။
I had two glasses of alcohol.,မနေ့က အရက် နှစ်ခွက် သောက်တယ်။
I drink one glass of milk every morning.,မနက်တိုင်း နွားနို့ တစ်ခွက် သောက်တယ်။
I bought three fish at the supermarket yesterday.,မနေ့က စူပါမားကက်မှာ ငါး သုံးကောင် ဝယ်ခဲ့တယ်။
There are two dogs over there.,ဟိုမှာ ခွေး နှစ်ကောင် ရှိတယ်။
Mr Hayashi has one cat in his house.,မစ္စတာဟယရှိရဲ့ အိမ်မှာ ကြောင် တစ်ကောင် ရှိတယ်။
I always bring three pencils to school.,ကျောင်းကို အမြဲတမ်း ခဲတံ သုံးချောင်း ယူသွားတယ်။
There are two trees in my garden.,အိမ်ကခြံထဲမှာ သစ်ပင် နှစ်ပင် ရှိတယ်။
I will eat and smoke a cigarette.,ထမင်းစားပြီး ဆေးလိပ် တစ်လိပ် သောက်တယ်။
I weigh 45 kilograms.,ကျွန်တော် အခု ကိုယ်အလေးချိန် လေးဆယ့်ငါးကီလိုဂရမ် ရှိတယ်။
This baggage is heavy because it weighs five kilograms.,ဒီအထုပ်က ငါးကီလို ရှိလို့ လေးတယ်။
It is two kilometres from the station to the library.,ဘူတာကနေ စာကြည့်တိုက်အထိ နှစ်ကီလိုမီတာ ရှိတယ်။
I run three kilometres every morning.,ကျွန်တော် မနက်တိုင်း သုံးကီလို ပြေးတယ်။
I will put in 30 grams of sugar and 15 grams of salt.,သကြား သုံးဆယ်ဂရမ်နဲ့ ဆား ဆယ့်ငါးဂရမ် ထည့်မယ်။
I will buy 200 grams of pork.,ဝက်သား နှစ်ရာဂရမ် ဝယ်မယ်။
This bookshelf is 1 metre tall and 1.5 metres wide.,ဒီစာအုပ်စင်က အနံ တစ်မီတာ အလျားတစ်မီတာခွဲ ရှိတယ်။
Mr Yamada can swim 100 metres.,မစ္စတာယာမာဒါက မီတာ တစ်ရာ ရေကူးနိုင်တယ်။
I like small and cute animals.,ကျွန်တော်က ချစ်စရာကောင်းတဲ့အကောင်ငယ်လေးတွေကို ကြိုက်တယ်။
Ms Kimura is very cute.,မစ္စခိမုရက အရမ်း ချစ်ဖို့ကောင်းတယ်။
"That young, energetic person is Mr Yamada.",ဟို ငယ်ရွယ်ပြီး သွက်လက်တဲ့ လူက မစ္စတာယာမာဒါပါ။
The teacher next to our class is still young.,ဘေးအတန်းကဆရာက ငယ်ငယ်လေးပဲ ရှိသေးတယ်။
There is a round box over there.,ဟိုမှာ ဘူးဝိုင်းလေး ရှိတယ်။
This table is round.,ဒီစားပွဲက ဝိုင်းတယ်။
The thing I want the most right now is a new computer.,အခုချိန်မှာ အလိုချင်ဆုံးအရာကတော့ ကွန်ပျူတာအသစ်ပဲ။
I want a Japanese dictionary.,ကျွန်တော် ဂျပန်စာအဘိဓာန် လိုချင်တယ်။
"Mr Lee caught a cold, so he is not healthy.",မစ္စတာလီ အအေးမိနေလို့ နေမကောင်းဘူး။
Mr Tanaka is a very cheerful person.,မစ္စတာယာမာဒါက အလွန် တက်ကြွတဲ့လူ ဖြစ်တယ်။
"Eat a lot of food, and you will have a strong body.",ထမင်း အများကြီး စားရင် ခန္ဓာကိုယ် သန်စွမ်းမယ်။
Mr Yamada is strong and healthy.,မစ္စတာယာမာဒါက သန်စွမ်းပြီး တက်တက်ကြွကြွ ရှိတယ်။
I will tell Mr Lee the days that work for me because we will be going out next month.,နောက်လကျရင် အတူတူ လျှောက်လည်မယ်။ အဲဒီအတွက် မစ္စတာလီဆီ ဖြစ်နိုင်မယ့်ရက်ကို အကြောင်းကြားပါမယ်။
"I have to study today, but tomorrow will work.",ဒီနေ့ စာမဖတ်လို့မရပေမဲ့ မနက်ဖန်ဆိုရင်တော့ ဖြစ်ပါတယ်။
"This book is very important, so please do not lose it.",ဒီစာအုပ်က အရမ်း အရေးကြီးလို့ မပျောက်ပါစေနဲ့။
This is a very important letter.,ဒါ အရေးကြီးတဲ့စာပါ။
Mr Tanaka is doing a hard job.,မစ္စတာတာနာခါက ပင်ပန်းတဲ့အလုပ်တွေ လုပ်နေတယ်။
It is challenging because I must learn a lot of kanji.,ခန်းဂျီးတွေ အများကြီး မှတ်ရမှာမို့ ဒုက္ခရောက်နေတယ်။
This is a very light and convenient dictionary.,ဒါလေးက အရမ်း ပေါ့ပြီး အဆင်ပြေတဲ့အဘိဓာန်ပဲ။
Airplanes are fast and convenient.,လေယာဉ်ပျံက မြန်ပြီး အဆင်ပြေတယ်။
This place is a very famous place in Japan.,ဒီနေရာက ဂျပန်မှာ နာမည်အကြီးဆုံးနေရာ။
This university is old and famous.,ဒီတက္ကသိုလ်က ရှေးကျပြီး နာမည်ကြီးတယ်။
"I am busy this month, so I am not free on any day.",ဒီလ အလုပ်များလို့ အားရက် မရှိဘူး။
"I am free tomorrow, so I will go out with my friend.",ကျွန်တော် မနက်ဖန် အားလို့ သူငယ်ချင်းနဲ့ လျှောက်လည်မယ်။
You cannot use the thing that is over there.,အဲဒီမှာ ရှိတဲ့ပစ္စည်းတွေကို မသုံးရဘူး။
Ms Matsui loves cute things.,မစ္စတာခိမုရက ချစ်စရာကောင်းတဲ့ပစ္စည်းလေးတွေဆို အရမ်း သဘောကျတယ်။
I want to live in a quiet and beautiful place.,ကျွန်တော် တိတ်ဆိတ်ပြီး လှပ(သန့်ရှင်း)တဲ့နေရာမှာ နေချင်တယ်။
This place is very lively.,ဒီနေရာက အရမ်း စည်ကားတဲ့နေရာ ဖြစ်တယ်။
"Yesterday, I heard some interesting news from my friend.",မနေ့က သူငယ်ချင်းဆီက စိတ်ဝင်စားဖို့ကောင်းတဲ့သတင်း တစ်ခု ကြားခဲ့တယ်။
I watched the news on TV this morning.,မနက်က တီဗွီသတင်း ကြည့်ခဲ့တယ်။
I shopped for dinner at the supermarket.,စူပါမားကက်မှာ ညစာအတွက် ဈေးဝယ်ခဲ့တယ်။
My sister's wedding party was held last week.,ရှေ့အပတ်က အစ်မရဲ့ မင်္ဂလာပွဲ ရှိလို့။
Mr Yamada gave a watch for Mr Kobayashi's birthday.,မစ္စတာယာမာဒါက မစ္စတာခိုဘယရှိရဲ့ မွေးနေ့အတွက် နာရီလက်ဆောင် ပေးခဲ့တယ်။
My birthday is on 26 August.,ကျွန်တော့်မွေးနေ့က ရှစ်လပိုင်း နှစ်ဆယ့်ခြောက်ရက်နေ့ပါ။
This notebook is wider than it is tall.,ဒီစာအုပ်က အလျားထက်စာရင် အနံက ပိုရှည်တယ်။
I will cut this paper vertically.,ဒီစက္ကူကို အလျားလိုက် ဖြတ်မယ်။
I eat egg with salt.,ကြက်ဥကို ဆားဖြူးပြီး စားတယ်။
I eat bread and egg every morning.,ကျွန်တော် မနက်တိုင်း ပေါင်မုန့်နဲ့ ကြက်ဥ စားတယ်။
You cannot open that door.,အဲဒီကတံခါးကို ဖွင့်လို့မရဘူး။
The door to my room wouldn't close.,ကျွန်တော့်အခန်းတံခါးက ပိတ်လို့မရဘူး။
This book has 120 pages.,ဒီစာအုပ်က စာမျက်နှာ တစ်ရာ့နှစ်ဆယ် ရှိတယ်။
I borrowed a phone from Mr Kimura.,မစ္စတာခိမုရက ဖုန်း ငှားပေးထားတယ်။
I will call Mr Lee tomorrow.,မနက်ဖန် မစ္စတာလီဆီ ဖုန်းဆက်မယ်။
"I took a lot of pictures, so I do not have any more film.",ဓာတ်ပုံတွေ အများကြီး ရိုက်လိုက်လို့ ဖလင် မရှိတော့ဘူး။
I will put a film in the camera.,ကင်မရာထဲကို ဖလင် ထည့်တယ်။
We will talk in a quiet voice because it is already midnight.,ည ဆယ့်နှစ်နာရီ ရှိပြီ၊ အသံ တိုးတိုး ပြောမယ်။
Mr Matsui's voice is big.,မစ္စတာမဆုအိက အသံကျယ်တယ်။
We line up in order of height from the shortest.,အရပ်ပုတဲ့လူကနေစပြီး တန်းစီးမယ်။
"This jacket has a lot of pockets, so it is convenient.",ဒီအပေါ်ထပ်အင်္ကျီမှာက အိတ်ကပ်တွေ အများကြီး ရှိလို့ အဆင်ပြေတယ်။
I will put money in my pocket.,အိတ်ကပ်ထဲ ပိုက်ဆံ ထည့်တယ်။
I bring a handkerchief with me when I go out.,အပြင်ထွက်တဲ့အခါ လက်ကိုင်ပဝါ ယူသွားတယ်။
I forgot my handkerchief in my classroom yesterday.,မနေ့က အတန်းထဲမှာ လက်ကိုင်ပဝါ မေ့ကျန်ခဲ့တယ်။
There was no shampoo in the bath.,ရေချိုးခန်းထဲမှာ ခေါင်းလျှော်ရည် မရှိဘူး။
I washed my hands with soap.,ဆပ်ပြာနဲ့ လက်ကို ဆေးတယ်။
There is no soap in the bathroom.,ရေချိုးခန်းမှာ ဆပ်ပြာ မရှိဘူး။
I lit a cigarette using a match.,ယမ်းမီးခြစ်ကို သုံးပြီး ဆေးလိပ်သောက်တယ်။
There is a match on the table.,စားပွဲပေါ်မှာ မီးခြစ် ရှိတယ်။
"Last week, I went to the cinema with Mr Lee and watched a film.",ရှေ့အပတ်က မစ္စတာလီနဲ့ ရုပ်ရှင်ရုံကို သွားပြီး ရုပ်ရှင် ကြည့်ခဲ့တယ်။
That cinema is new and pretty.,အဲဒီရုပ်ရှင်ရုံက သစ်လွင်ပြီး သန့်ရှင်းနေတာပဲ။
I put notebooks and pens inside the box.,ပုံးထဲကို မှတ်စုစာအုပ်နဲ့ ဘောပင် ထည့်မယ်။
This box is very heavy.,ဒီသေတ္တာက အရမ်း လေးတယ်။
We write our answers on this paper.,ဒီစာရွက်ပေါ်မှာ မေးခွန်းရဲ့ အဖြေကို ရေးမယ်။
There are paper and a pencil on the desk.,စာရေးခုံပေါ်မှာ စာရွက်နဲ့ ခဲတံ ရှိတယ်။
A new road in the village has made our lives more convenient.,လမ်းအသစ် ဖောက်ပြီးသွားလို့ ရွာလည်း အဆင်ပြေသွားပြီ။
This village is quiet and beautiful.,ဒီရွာက တိတ်ဆိတ်ပြီး သာယာတယ်။
"Last month, a department store was opened next to our town.",ရှေ့လက ဘေးကပ်လျက်မြို့မှာ ကုန်တိုက်အသစ် ဖွင့်တယ်။
I will live in this town from next year.,ကျွန်တော် နောက်နှစ်ကစပြီး ဒီမြို့မှာ နေမယ်။
A letter came from my mother back in my home country.,မွေးရပ်မြေမှာရှိတဲ့အမေ့ဆီက စာလာတယ်။
I will go back to my country during summer vacation.,နွေရာသီပိတ်ရက်မှာ အမိနိုင်ငံကို ပြန်မယ်။
The bird is drinking water.,ငှက် ရေသောက်နေတယ်။
There is a bird on top of that tree.,ဟိုကသစ်ပင်ပေါ်မှာ ငှက် ရှိတယ်။
There are a dog and a cat in Mr Hayashi's house.,မစ္စတာဟယရှိရဲ့ အိမ်မှာ ခွေးနဲ့ ကြောင် ရှိတယ်။
The cat is sleeping over there.,ဟိုမှာ ကြောင်လေး အိပ်နေတယ်။
I went for a walk with my dog in the park in the evening.,ညနေစောင်း ခွေးနဲ့ ပန်းခြံကို လမ်းလျှောက် သွားတယ်။
My dog is very big.,အိမ်ကခွေးက အကြီးကြီးပဲ။
I played with my pet yesterday.,မနေ့က အိမ်မွေးတိရစ္ဆာန်နဲ့ ကစားတယ်။
Mr Kobayashi has a pet in his house.,မစ္စတာခိုဘာယာရှိရဲ့ အိမ်မှာ အိမ်မွေးတိရစ္ဆာန် ရှိတယ်။
That animal is very cute.,တိရစ္ဆာန်ငယ်လေးတွေက အရမ်း ချစ်ဖို့ကောင်းတယ်။
The sea over there is very pretty.,အဲဒီကပင်လယ်က အရမ်း လှတယ်။
My parents live near the sea.,ကျွန်တော့်မိဘတွေက ပင်လယ်ကမ်းခြေဘေးနားမှာ နေတယ်။
There are a lot of animals in that mountain.,အဲဒီတောင်မှာ တိရစ္ဆာန်တွေ အများကြီး ရှိတယ်။
The school is near that mountain.,ကျောင်းက အဲဒီတောင်နားမှာ ရှိတယ်။
There is a fish in the lake.,ကန်ထဲမှာ ငါး ရှိတယ်။
There is a big lake in the park.,ပန်းခြံထဲမှာ ရေကန် အကြီးကြီး ရှိတယ်။
This flower is red and pretty.,ဒီပန်းက နီပြီး လှနေတာပဲ။
Ms Kimura likes flowers.,မစ္စတာခိမုရက ပန်း ကြိုက်တယ်။
Yesterday I cut down a tree.,မနေ့က သစ်ပင်ကို ခုတ်လိုက်တယ်။
There are trees and flowers in Mr Tanaka's home garden.,မစ္စတာတာနာခါရဲ့ အိမ်ကခြံဝန်းထဲမှာ သစ်ပင်ပန်းပင်တွေ ရှိတယ်။
The sky in the east is cloudy.,အရှေ့ဘက်ကောင်းကင်မှာ တိမ်ထူနေတယ်။
The sky is big.,ကောင်းကင်ကြီးက ကျယ်တယ်။
It snows during winter in Japan.,ဂျပန်မှာ ဆောင်းတွင်းဆို နှင်းကျတယ်။
"It is cold in the winter, so I will turn on the heater.",ဆောင်းတွင်းဆို ချမ်းလို့ အနွေးစက် ဖွင့်တယ်။
"When summer ends, autumn comes.",နွေကုန်ရင် ဆောင်းဦး လာမယ်။
I like autumn better than spring.,ကျွန်တော်က နွေဦးထက် ဆောင်းဦးကို ပိုနှစ်သက်တယ်။
"Every day during the summer, I go outside wearing a hat.",နွေအခါဆို နေ့တိုင်း ဦးထုပ်ဆောင်းပြီး အပြင်ထွက်တယ်။
Summer in Japan is very hot.,ဂျပန်ကနွေရာသီက အရမ်း ပူတယ်။
A lot of flowers blossom in spring.,နွေဦးဆို ပန်းတွေ အများကြီး ပွင့်တယ်။
"In Japan, the wind is strong in spring.",ဂျပန်ရဲ့ နွေဦးလေက ကြမ်းတယ်။
I have four tests this week.,ဒီအပတ် စာမေးပွဲ လေးခုတောင် ရှိတယ်။
My sister will enter university next year.,လာမယ့်နှစ်မှာ ကျွန်တော့်ညီမ တက္ကသိုလ်တက်မယ်။
"I went shopping with my friend, and then we entered a cafe.",သူငယ်ချင်းနဲ့ ဈေးဝယ်ပြီး ကော်ဖီဆိုင် ဝင်ဖြစ်တယ်။
I always take a bath before sleeping.,အမြဲတမ်း မအိပ်ခင် ရေချိုးတယ်။
I cried when I was watching the film.,ရုပ်ရှင် ကြည့်နေတုန်းက ငိုလိုက်ရတယ်။
My sister is crying in her room.,အခန်းထဲမှာ ညီမလေး ငိုနေတယ်။
"I want to take the day off tomorrow. However, I need to go to school.",မနက်ဖန် တစ်နေ့လုံး နားချင်တယ်။ ဒါပေမဲ့ ကျောင်းမသွားလို့မရဘူး။
"I am busy every day. However, every day is very fun.",နေ့တိုင်း အလုပ်များတယ်။ ဒါပေမဲ့ အရမ်း ပျော်တယ်။
"That restaurant is cheap, but it doesn't taste very good.",အဲဒီစားသောက်ဆိုင်က ဈေးပေါတယ်။ ဒါပေမဲ့ သိပ် စားလို့မကောင်းဘူး။
"The party yesterday was fun, but it was tiring.",မနေ့တုန်းကပါတီက ပျော်ဖို့ကောင်းပါတယ်။ ဒါပေမဲ့ နည်းနည်းတော့ ပင်ပန်းသွားတယ်။
"The food at the cafeteria is cheap, and it tastes good.",စားသောက်ဆိုင်ကထမင်းက ဈေးပေါတယ်။ ပြီးတော့ စားလို့လည်း ကောင်းတယ်။
"I leave the house at 8.00, and I go to school by bus.",ရှစ်နာရီမှာ အိမ်က ထွက်တယ်။ ပြီးတော့ ဘတ်စကားနဲ့ ကျောင်းကို သွားတယ်။
I will buy that cup. I will buy that plate too.,ဒီခွက်ကို ဝယ်မယ်။ ပြီးတော့ ဒီပန်းကန်ပြားလည်း ဝယ်မယ်။
"I watched TV yesterday. After that, I studied Japanese.",မနေ့က တီဗွီ ကြည့်တယ်။ ပြီးတော့ ဂျပန်စာကို လေ့လာတယ်။
This dictionary is not very good.,ဒီအဘိဓာန်က သိပ် မကောင်းဘူး။
Let's go get lunch later.,နောက်မှ နေ့လယ်စာ အတူတူ စားကြတာပေါ့။
Mr Tanaka always seems busy.,မစ္စတာတာနာခါက အမြဲတမ်း အလုပ်များတဲ့ပုံပဲ။
I always shop at this supermarket.,ကျွန်တော် အမြဲတမ်း ဒီစူပါမားကက်မှာ ဈေးဝယ်တယ်။
Thank you for everything.,အစစအရာရာ ကျေးဇူးတင်ပါတယ်။
There are various dishes laid out on the table.,စားပွဲပေါ်မှာ ဟင်းမျိုးစုံကို စီထားတယ်။
Thank you. This is enough.,ကျေးဇူးတင်ပါတယ်။ ဒီလောက်ဆို တော်ပါပြီ။
Mr Kobayashi is very smart.,မစ္စတာခိုဘာယာရှိက ဉာဏ် အရမ်း ကောင်းတယ်။
I will read a little before sleeping.,စာအုပ်လေးဘာလေး နည်းနည်းပါးပါး ဖတ်ပြီး အိပ်မယ်။
I drank a little bit of alcohol yesterday.,မနေ့က အရက် နည်းနည်း သောက်ခဲ့တယ်။
I'm eating dinner right now.,အတော်ပဲ၊ အခု ညစာစားနေတုန်း။
The competition is just about to start now.,အတော်ပဲ၊ အခု ပွဲစတော့မယ်။
I will work as soon as I graduate university.,တက္ကသိုလ်ပြီးရင် ချက်ချင်း အလုပ်လုပ်မယ်။
My wife comes home soon.,အမျိုးသမီးက ချက်ချင်း ပြန်လာတယ်။
It was very fun today.,ဒီနေ့ အရမ်း ပျော်ခဲ့တယ်။
This film is very interesting.,ဒီရုပ်ရှင်က အရမ်း စိတ်ဝင်စားဖို့ ကောင်းတယ်။
Mr Lee is gradually getting better at Japanese.,မစ္စတာလီ တဖြည်းဖြည်း ဂျပန်စကား တော်လာပြီ။
It starts to get gradually hotter in July.,ခုနစ်လပိုင်းကစပြီး တဖြည်းဖြည်း ပူတော့မယ်။
B: I'm sorry. Tomorrow is a little...,ဆောရီးပဲ။ နက်ဖန်ခါတော့ သိပ် အဆင်မပြေဘူး။
A: Would you like to go shopping with me tomorrow?,မနက်ဖန် အတူတူ ဈေးသွားဝယ်ရအောင်လား။
I sometimes shop at this vegetable shop.,ကျွန်တော် တစ်ခါတလေ ဒီကုန်စိမ်းဆိုင်မှာ ဈေးဝယ်တယ်။
Ms Kimura sometimes makes dinner.,မစ္စတာခိမုရဟာ ရံဖန်ရံခါ ထမင်းချက်တယ်။
The person over there is probably Mr Yamada.,အဲဒီမှာ ရှိတဲ့လူက မစ္စတာယာမာဒါ ဖြစ်လိမ့်မယ်။
Mr Hayashi probably knows the news.,မစ္စတာဟယရှိ အဲဒီသတင်းကို သိလိမ့်မယ်။
The students are lined up in a straight line in the hallway.,တပည့်တွေက စင်္ကြံမှာ တန်းနေအောင် တန်းစီတယ်။
"After you leave the station, please go straight down that street.",ဘူတာက ထွက်ပြီး ဟိုလမ်းကနေ တည့်တည့် သွားပါ။
"Yesterday, I learned piano for the first time.",မနေ့က ပထမဆုံးအကြိမ် စန္ဒရား စသင်တယ်။
I met Mr Hayashi for the first time.,ကျွန်တော် ပထမဆုံးအကြိမ် မစ္စတာဟယရှိနဲ့ တွေ့ခဲ့တယ်။
I will come back again.,နောက်မှ ထပ်လာမယ်။
I will go out with Mr Lee again next week.,ကျွန်တော် နောက်အပတ် မစ္စတာခိုဘာယာရှိနဲ့ ထပ်ပြီး လျှောက်လည်ဦးမယ်။
Mr Matsui hasn't started homework yet.,မစ္စတာမဆုအိ အိမ်စာမလုပ်သေးဘူး။
It is still 10.00 now.,အခု ဆယ်နာရီပဲ ရှိသေးတယ်။
I have already had lunch at the cafeteria.,ကျွန်တော် စားသောက်ဆိုင်မှာ နေ့လယ်စာ စားပြီးသွားပြီ။
My sister already went to bed.,ညီမလေး အိပ်သွားပြီ။
I will go home after I do a little bit more work.,နောက်ထပ် အလုပ်လေး နည်းနည်း လုပ်ပြီး ပြန်မယ်။
I will drink one more glass of water.,ရေ နောက်တစ်ခွက် ထပ်သောက်မယ်။
Please talk more slowly.,ပိုပြီး ဖြည်းဖြည်း ပြောပေးပါ။
"Because my feet hurt, I will walk slowly.",ခြေထောက်နာလို့ ဖြည်းဖြည်း လျှောက်မယ်။
I want to become better at English.,ကျွန်တော် အင်္ဂလိပ်စာ ဒီထက် ပိုတော်ချင်တယ်။
I will buy cheaper clothes.,ဈေး ပိုပေါတဲ့အဝတ်အစားကို ၀ယ်မယ်။
You wrote this essay very well.,ဒီစာစီစာကုံးက အရေးအသား တော်တော် ကောင်းတယ်။
I did well on yesterday's test.,မနေ့ကစာမေးပွဲ ကောင်းကောင်း ဖြေနိုင်တယ်။
I have bumped into Mr Kobayashi many times today.,ဒီနေ့ မစ္စတာခိုဘာယာရှိနဲ့ ခဏခဏ တွေ့တယ်။
I often go to that cafe with Mr Kimura.,မစ္စတာခိမုရနဲ့ အမြဲတမ်း အဲဒီကော်ဖီဆိုင်ကို သွားတယ်။
I will do my homework first thing when I get home.,အိမ်ပြန်ရင် အရင်ဆုံး အိမ်စာလုပ်မယ်။
I will go back to my country at the beginning of next month.,နောက်လဆန်း နိုင်ငံကို ပြန်မယ်။
Who will you meet tomorrow?,မနက်ဖန် ဘယ်သူနဲ့ တွေ့ဖို့ ရှိလဲ။
Was there anyone in the room next to us?,ဘေးကအခန်းမှာ ဘယ်သူများ ရှိလို့လဲ။
Does someone have my pen?,တစ်ယောက်ယောက်များ ကျွန်တော့်ဘောပင် ယူသွားသေးလား မသိဘူး။
Where do you usually eat lunch?,အမြဲတမ်း ဘယ်မှာ ထမင်းစားသလဲ။
Why are you studying Japanese?,ဘာအတွက် ဂျပန်စာကို လေ့လာနေတာလဲ။
What transport do you use to get to work?,ဘာနဲ့ ကုမ္ပဏီကို သွားမလဲ။
Which one is the most delicious?,ဘယ်ဟာ အရသာ အရှိဆုံးလဲ။
Which one did Mr Hayashi buy?,မစ္စတာဟယရှိဟာ ဘာကို ဝယ်ခဲ့ပါသလဲ။
What kind of food is it?,အဲဒါ ဘယ်လိုအစားအစာမျိုးလဲ။
What kind of person would you like to marry?,ဘယ်လိုလူမျိုးနဲ့ လက်ထပ်ချင်သလဲ။
"Mr Lee, which drink would you like?",မစ္စတာလီ ဘယ်သောက်စရာ သောက်မလဲ။
"Ms Kimura, which one do you like?",မစ္စတာခိမုရ ဘယ်တစ်ခုကို ကြိုက်လဲ။
Would you like some coffee?,ကော်ဖီ သောက်မလား။
Would you like a snack?,မုန့်လေး တစ်ခုလောက် သုံးဆောင်ပါဦးလား။
Whose class is the most interesting?,ဘယ်ဆရာရဲ့ အတန်းက စိတ်ဝင်စားဖို့ အကောင်းဆုံးလဲ။
Who is Mr Hayashi?,ဘယ်သူက မစ္စတာဟယရှိလဲ။
Who is Mr Kobayashi?,မစ္စတာခိုဘာယာရှိ ဆိုတာ ဘယ်သူပါလဲ။
Who is the new teacher?,ဆရာအသစ်က ဘယ်သူပါလဲ။
"Which one do you want to eat, Mr Yamada?",မစ္စတာယာမာဒါ ဘယ်ဟာ စားချင်ပါသလဲ။
Where is your country?,ဘယ်နိုင်ငံကပါလဲ။
"Ah, Mr Tanaka, good evening.",ဟာ... ၊ မစ္စတာတာနာခါ မင်္ဂလာညချမ်းပါ။
"Oh, good.",အမလေး၊ တော်ပါသေးရဲ့။
I took that picture last month.,အဲဒီဓာတ်ပုံက ရှေ့လက တိုကျိုမှာ ရိုက်ထားတာ။
That person is Mr Kobayashi.,အဲဒီလူက မစ္စတာခိုဘာယာရှိပါ။
"Well, I don't know, I'm not really sure.",ဘယ်လို ပြောရမလဲ၊ သိပ် နားမလည်ဘူး။
"Now, let's start class.",ကဲ၊ အတန်းစလိုက်ကြစို့။
"Hello, this is Kimura.",ဟလို၊ ခိမုရပါ ခင်ဗျာ။
"Yes, hello. This is Matsui.",ဟုတ်ကဲ့ အမိန့်ရှိပါ။ မဆုအိပါ ရှင်။
I'm very sorry.,အားနာစရာကောင်းလိုက်တာ။
Thank you very much.,ကျေးဇူး အများကြီး တင်ပါတယ်။
Thanks.,ကျေးဇူးတင်ပါတယ်။
"Yes, that is true.",အင်း၊ ဟုတ်တယ်။
"Yes, what is it?",ဟုတ်ကဲ့၊ ဘာပါလဲ ခင်ဗျာ။
"Well then, thank you in advance.",ဒါဖြင့်၊ ကူညီဆောင်ရွက်ပေးပါ။
We will be starting class now.,ဒါဖြင့်၊ အတန်းစမယ်။
Then let's go to the hospital by bus.,ဒါဆိုရင်၊ ဘတ်စကားနဲ့ပဲ ဆေးရုံ သွားမယ်။
That's right.,ဟုတ်တယ်နော်။
"No, that's not correct.",ဟင့်အင်း၊ မဟုတ်ဘူး။
The drink I like the best is tea.,ကျွန်တော် နံပါတ်တစ်အကြိုက်ဆုံးဒွင့်ခ်က လက်ဖက်ရည်ပါ။
This meat is the cheapest.,ဒီအသားက ဈေးအပေါဆုံးပါ။
I will order this dish.,ကျွန်တော် ဒီဟင်း မှာမယ်။
This building is old and famous.,ဒီအဆောက်အအုံက သက်တမ်းကြာပြီး နာမည်ကြီးတယ်။
You cannot go into that room.,အဲဒီအခန်းကို မဝင်ရဘူး။
I am looking for a black wallet like this.,ဒီလောက်လောက် မည်းတဲ့ ပိုက်ဆံအိတ်ကို ရှာနေတယ်။
I want a hat like this.,ကျွန်တော် ဒီလိုဦးထုပ် လိုချင်တယ်။
Please help me if I'm doing something wrong.,ကျေးဇူးပြုပြီး ဆောင်ရွက်ပေးပါရန် တောင်းဆိုအပ်ပါတယ်။
I went home with everyone.,အားလုံး အတူတူ ပြန်ခဲ့တယ်။
I will study with Mr Yamada at the library.,စာကြည့်တိုက်မှာ မစ္စတာယာမာဒါနဲ့ အတူတူ စာဖတ်မယ်။
Would you like to go on a trip together?,ခရီး အတူတူ သွားကြမလား။
Big bags are convenient.,အိတ် အကြီးကြီး သုံးရတာ အဆင်ပြေတယ်။
Mr Tanaka lives in a big house.,မစ္စတာတာနာခါက အိမ် အကြီးကြီးမှာ နေတယ်။
There is a small chair in my room.,ကျွန်တော့်အခန်းမှာ ထိုင်ခုံ သေးသေးလေး ရှိတယ်။
I was born in a small town.,ကျွန်တော့်ကို မြို့ငယ်လေးတစ်မြို့မှာ မွေးခဲ့တယ်။
I cut the fruit in half.,အသီးကို ထက်ခြမ်း ခြမ်းတယ်။
I ate half a loaf of bread.,ပေါင်မုန့် တစ်ဝက် စားလိုက်တယ်။
Please open the window over there.,ဟိုဘက်ကပြတင်းပေါက်ကို ဖွင့်လိုက်ပါ။
The hospital is across the station.,ဆေးရုံက ဘူတာရဲ့ အခြားတစ်ဖက်မှာ။
"The whole thing will be 1,600 yen.",စုစုပေါင်း ထောင့်ခြောက်ရာပါ။
I finished all of my homework.,အိမ်စာတွေ အားလုံး ပြီးပြီ။
There are many people swimming at the beach.,ပင်လယ်မှာ လူတွေ အများကြီး ရေကူးနေတယ်။
Many people came to the party.,ပါတီပွဲကို လူတွေ အများကြီး လာကြတယ်။
My shoes and Ms Kobayashi's shoes are the same.,ကျွန်တော့်ဖိနပ်နဲ့ မစ္စတာခိုဘာယာရှိရဲ့ ဖိနပ်က အတူတူပဲ။
Mr Matsui and Ms Lee are in the same class.,မစ္စတာမဆုအိနဲ့ မစ္စတာလီက အတန်း အတူတူပဲ။
